IATA_Code,ICAO_Code,Airline_Name,Source
S8,SBD,,LEGACY
SA,SAA,"South African Airways",IATA
SB,ACI,"Aircalin",IATA
SC,CDG,"Shandong Airlines",IATA
SD,SUD,,LEGACY
SE,SEU,,LEGACY
SF,DTH,"Domestic Airlines",IATA
SG,SEJ,"SpiceJet",IATA
SH,SHA,,LEGACY
SI,SIH,,LEGACY
SJ,SJY,,LEGACY
SK,SAS,"SAS",IATA
SL,TLM,"Thai Lion Air",IATA
SM,MSC,"Air Cairo",IATA
SN,BEL,"Brussels Airlines",IATA
SO,SLC,,LEGACY
SP,SAT,"SATA Air Acores",IATA
SQ,SIA,"Singapore Airlines",IATA
SR,SWR,,LEGACY
SS,CRL,"Corsair International",IATA
ST,GMI,,LEGACY
SU,AFL,"Aeroflot",IATA
SV,SVA,"Saudi Arabian Airlines",IATA
SW,NMB,,LEGACY
SY,SCX,"Sun Country Airlines",IATA
SZ,SMR,"Somon Air",IATA
T2,TCG,,LEGACY
T3,EZE,,LEGACY
T4,HEJ,,LEGACY
T5,TUA,,LEGACY
T7,TJT,,LEGACY
TA,TAI,"TACA",IATA
TB,TBZ,,LEGACY
TC,ATC,"Air Tanzania",IATA
TD,LUR,,LEGACY
TE,LIL,,LEGACY
TF,BRX,"Braathens Regional Airways",IATA
TG,THA,"Thai Airways International",IATA
TH,THS,,LEGACY
TI,TWI,"Tailwind Airlines",IATA
TJ,TJA,,LEGACY
TK,THY,"Turkish Airlines",IATA
TL,ANO,,LEGACY
TM,LAM,"LAM",IATA
TN,THT,"Air Tahiti Nui",IATA
TO,TVF,,LEGACY
TP,TAP,"TAP Air Portugal",IATA
TQ,TXW,,LEGACY
TR,TGW,"Scoot",IATA
TS,TSC,"Air Transat",IATA
TT,KLA,,LEGACY
TU,TAR,"Tunisair",IATA
TV,TBA,"Xizang Airlines",IATA
TW,TWB,"Trinity Airways",IATA
TX,FWI,"Air Caraibes",IATA
TY,TPC,"Air Caledonie",IATA
TZ,SCO,,LEGACY
U1,ABI,,LEGACY
U2,EZY,,LEGACY
U3,AIA,,LEGACY
U4,PMT,,LEGACY
U5,GWY,,LEGACY
U6,SVR,"Ural Airlines",IATA
U8,CYF,"TUS Airways",IATA
U9,TAK,,LEGACY
UA,UAL,"United Airlines",IATA
UB,UBA,"Myanmar National Airlines",IATA
UC,LCO,"LATAM Cargo Chile",IATA
UD,HER,,LEGACY
UE,NAS,,LEGACY
UF,PER,"PAS",IATA
UG,TUI,,LEGACY
UI,ECA,,LEGACY
UJ,LMU,"AlMasria Universal Airlines",IATA
UK,VTI,,LEGACY
UL,ALK,"SriLankan Airlines",IATA
UM,AZW,,LEGACY
UN,NUA,"United Nigeria Airlines",IATA
UO,HKE,"Hong Kong Express Airways",IATA
UP,BHS,"Bahamasair",IATA
UQ,CUH,"Urumqi Air",IATA
US,USA,,LEGACY
UT,UTA,"UTair",IATA
UU,REU,"Air Austral",IATA
UX,AEA,"Air Europa",IATA
UZ,BRQ,,LEGACY
V0,VCV,,LEGACY
V1,VIA,,LEGACY
V2,RBY,,LEGACY
V3,KRP,"Carpatair",IATA
V5,VLI,,LEGACY
V7,VOE,"Volotea",IATA
V8,VAS,,LEGACY
V9,HCW,,LEGACY
VA,VAU,"Virgin Australia",IATA
VE,EFY,"Clic Air",IATA
VF,TKJ,"AJet",IATA
VG,VLM,,LEGACY
VH,VNP,,LEGACY
VI,VDA,,LEGACY
VJ,VJC,"Vietjet",IATA
VK,VGN,,LEGACY
VL,LHX,"Lufthansa City Airlines",IATA
VN,HVN,"Vietnam Airlines",IATA
VO,TYR,,LEGACY
VP,VSP,,LEGACY
VQ,VKH,,LEGACY
VR,TCV,,LEGACY
VS,VIR,"Virgin Atlantic",IATA
VT,VTA,"Air Tahiti",IATA
VU,VUN,,LEGACY
VV,AEW,,LEGACY
VW,TAO,,LEGACY
VX,VRD,,LEGACY
VY,VLG,"Vueling",IATA
VZ,MYT,,LEGACY
W2,FXT,"FlexFlight",IATA
W3,ARA,,LEGACY
W4,BES,,LEGACY
W5,IRM,,LEGACY
W6,WZZ,,LEGACY
W8,CJT,"Cargojet Airways",IATA
W9,JAB,,LEGACY
WA,KLC,,LEGACY
WB,RWD,"RwandAir",IATA
WC,ISV,,LEGACY
WD,AAN,,LEGACY
WF,WIF,"Wideroe",IATA
WI,WHT,"White coloured by you",IATA
WJ,JES,"JetSMART Argentina",IATA
WK,EDW,"Edelweiss Air",IATA
WN,SWA,"Southwest Airlines",IATA
WO,WOA,,LEGACY
WP,MKU,,LEGACY
WQ,PQW,,LEGACY
WR,WEN,,LEGACY
WS,WJA,"WestJet",IATA
WT,SWT,"Swiftair",IATA
WU,WAU,,LEGACY
WV,FLN,"Fly Namibia",IATA
WW,BMI,,LEGACY
WX,BCY,"CityJet",IATA
WY,OMA,"Oman Air",IATA
WZ,RWZ,,LEGACY
X3,TUI,"TUIfly",IATA
X5,OTJ,,LEGACY
X7,CHG,"Challenge Airlines (BE)",IATA
X9,NVD,"Avion Express",IATA
XA,XAU,,LEGACY
XB,NXB,,LEGACY
XC,CAI,"Corendon Airlines",IATA
XE,BTA,,LEGACY
XF,VLK,,LEGACY
XG,CLI,,LEGACY
XJ,MES,,LEGACY
XK,CCM,"Air Corsica",IATA
XL,LNE,"LATAM Airlines Ecuador",IATA
XM,SMX,,LEGACY
XO,LTE,,LEGACY
XP,XPT,,LEGACY
XQ,SXS,"SunExpress",IATA
XT,AXL,,LEGACY
XW,SXR,,LEGACY
XX,GFY,,LEGACY
